time,frametime,MsDeltaBetweenFrames,LoadMarker,TestMarker
51.7045797,15.2259,0.9848,0,0.1
51.7190228,14.4431,0.7828,0,0.1
51.7340124,14.9896,0.5465,0,0.1
51.7486364,14.624,0.3656,0,0.1
51.7634928,14.8564,0.2324,0,0.1
51.7775877,14.0949,0.7615,0,0.1
51.7925946,15.0069,0.912,0,0.1
51.8072674,14.6728,0.3341,0,0.1
51.8219207,14.6533,0.0195,0,0.1
51.8369206,14.9999,0.3466,0,0.1
51.8509637,14.0431,0.9568,0,0.1
51.8673895,16.4258,2.3827,0,0.1
51.8804145,13.025,3.4008,0,0.1
51.8949599,14.5454,1.5204,0,0.1
51.9097112,14.7513,0.2059,0,0.1
51.9240813,14.3701,0.3812,0,0.1
51.9386579,14.5766,0.2065,0,0.1
51.9535217,14.8638,0.2872,0,0.1
51.968459,14.9373,0.0735,0,0.1
51.9830418,14.5828,0.3545,0,0.1
51.9977213,14.6795,0.0967,0,0.1
52.0120063,14.285,0.3945,0,0.1
52.0269947,14.9884,0.7034,0,0.1
52.0415212,14.5265,0.4619,0,0.1
52.0564014,14.8802,0.3537,0,0.1
52.0710782,14.6768,0.2034,0,0.1
52.0859685,14.8903,0.2135,0,0.1
52.1012204,15.2519,0.3616,0,0.1
52.1160007,14.7803,0.4716,0,0.1
52.1311314,15.1307,0.3504,0,0.1
52.1455441,14.4127,0.718,0,0.1
52.1605866,15.0425,0.6298,0,0.1
52.1750977,14.5111,0.5314,0,0.1
52.1901501,15.0524,0.5413,0,0.1
52.205401,15.2509,0.1985,0,0.1
52.2201133,14.7123,0.5386,0,0.1
52.2353439,15.2306,0.5183,0,0.1
52.2501093,14.7654,0.4652,0,0.1
52.2649894,14.8801,0.1147,0,0.1
52.2794071,14.4177,0.4624,0,0.1
52.2944874,15.0803,0.6626,0,0.1
52.309467,14.9796,0.1007,0,0.1
52.3259089,16.4419,1.4623,0,0.1
52.3393179,13.409,3.0329,0,0.1
52.3539711,14.6532,1.2442,0,0.1
52.3693167,15.3456,0.6924,0,0.1
52.3838654,14.5487,0.7969,0,0.1
52.3987763,14.9109,0.3622,0,0.1
52.4142495,15.4732,0.5623,0,0.1
52.4290616,14.8121,0.6611,0,0.1
52.4439502,14.8886,0.0765,0,0.1
52.4586787,14.7285,0.1601,0,0.1
52.4734598,14.7811,0.0526,0,0.1
52.4880443,14.5845,0.1966,0,0.1
52.5028498,14.8055,0.221,0,0.1
52.5179642,15.1144,0.3089,0,0.1
52.5329297,14.9655,0.1489,0,0.1
52.5476879,14.7582,0.2073,0,0.1
52.5628472,15.1593,0.4011,0,0.1
52.5773769,14.5297,0.6296,0,0.1
52.5924015,15.0246,0.4949,0,0.1
52.6076823,15.2808,0.2562,0,0.1
52.6218165,14.1342,1.1466,0,0.1
52.6367799,14.9634,0.8292,0,0.1
52.6513116,14.5317,0.4317,0,0.1
52.6662692,14.9576,0.4259,0,0.1
52.6809439,14.6747,0.2829,0,0.1
52.6959195,14.9756,0.3009,0,0.1
52.7104082,14.4887,0.4869,0,0.1
52.7254057,14.9975,0.5088,0,0.1
52.7396969,14.2912,0.7063,0,0.1
52.7544687,14.7718,0.4806,0,0.1
52.7708284,16.3597,1.5879,0,0.1
52.7859379,15.1095,1.2502,0,0.1
52.7991985,13.2606,1.8489,0,0.1
52.8136745,14.476,1.2154,0,0.1
52.8285332,14.8587,0.3827,0,0.1
52.8433744,14.8412,0.0175,0,0.1
52.8588841,15.5097,0.6685,0,0.1
52.8738067,14.9226,0.5871,0,0.1
52.8888541,15.0474,0.1248,0,0.1
52.9040347,15.1806,0.1332,0,0.1
52.9189411,14.9064,0.2742,0,0.1
52.9338166,14.8755,0.0309,0,0.1
52.9487469,14.9303,0.0548,0,0.1
52.9642933,15.5464,0.6161,0,0.1
52.9794686,15.1753,0.3711,0,0.1
52.9951799,15.7113,0.536,0,0.1
53.0101212,14.9413,0.77,0,0.1
53.0255646,15.4434,0.5021,0,0.1
53.0400209,14.4563,0.9871,0,0.1
53.0553157,15.2948,0.8385,0,0.1
53.0701749,14.8592,0.4356,0,0.1
53.0858512,15.6763,0.8171,0,0.1
53.1010438,15.1926,0.4837,0,0.1
53.1154707,14.4269,0.7657,0,0.1
53.1303744,14.9037,0.4768,0,0.1
53.1461268,15.7524,0.8487,0,0.1
53.1616764,15.5496,0.2028,0,0.1
53.1761521,14.4757,1.0739,0,0.1
53.1912821,15.13,0.6543,0,0.1
53.2058313,14.5492,0.5808,0,0.1
53.2213701,15.5388,0.9896,0,0.1
53.2362712,14.9011,0.6377,0,0.1
53.251029,14.7578,0.1433,0,0.1
53.2661015,15.0725,0.3147,0,0.1
53.2808239,14.7224,0.3501,0,0.1
53.2957986,14.9747,0.2523,0,0.1
53.3114437,15.6451,0.6704,0,0.1
53.3261102,14.6665,0.9786,0,0.1
53.34089,14.7798,0.1133,0,0.1
53.3560128,15.1228,0.343,0,0.1
53.3705963,14.5835,0.5393,0,0.1
53.3852539,14.6576,0.0741,0,0.1
53.4002551,15.0012,0.3436,0,0.1
53.4150731,14.818,0.1832,0,0.1
53.4296289,14.5558,0.2622,0,0.1
53.4445953,14.9664,0.4106,0,0.1
53.4594835,14.8882,0.0782,0,0.1
53.4743613,14.8778,0.0104,0,0.1
53.4892884,14.9271,0.0493,0,0.1
53.5038999,14.6115,0.3156,0,0.1
53.5189198,15.0199,0.4084,0,0.1
53.5332975,14.3777,0.6422,0,0.1
53.5481294,14.8319,0.4542,0,0.1
53.5645118,16.3824,1.5505,0,0.1
53.5781518,13.64,2.7424,0,0.1
53.5928075,14.6557,1.0157,0,0.1
53.6071869,14.3794,0.2763,0,0.1
53.6219028,14.7159,0.3365,0,0.1
53.6369484,15.0456,0.3297,0,0.1
53.652169,15.2206,0.175,0,0.1
53.6672776,15.1086,0.112,0,0.1
53.6814708,14.1932,0.9154,0,0.1
53.6972184,15.7476,1.5544,0,0.1
53.7122431,15.0247,0.7229,0,0.1
53.7270457,14.8026,0.2221,0,0.1
53.7419711,14.9254,0.1228,0,0.1
53.7571825,15.2114,0.286,0,0.1
53.7718214,14.6389,0.5725,0,0.1
53.7868863,15.0649,0.426,0,0.1
53.8016902,14.8039,0.261,0,0.1
53.8167288,15.0386,0.2347,0,0.1
53.8314919,14.7631,0.2755,0,0.1
53.8463516,14.8597,0.0966,0,0.1
53.8629621,16.6105,1.7508,0,0.1
53.8761404,13.1783,3.4322,0,0.1
53.8908365,14.6961,1.5178,0,0.1
53.9058704,15.0339,0.3378,0,0.1
53.920794,14.9236,0.1103,0,0.1
53.93588,15.086,0.1624,0,0.1
53.9502322,14.3522,0.7338,0,0.1
53.9650288,14.7966,0.4444,0,0.1
53.9798654,14.8366,0.04,0,0.1
53.9948172,14.9518,0.1152,0,0.1
54.0095355,14.7183,0.2335,0,0.1
54.0247172,15.1817,0.4634,0,0.1
54.0397062,14.989,0.1927,0,0.1
54.0538913,14.1851,0.8039,0,0.1
54.0691936,15.3023,1.1172,0,0.1
54.0842061,15.0125,0.2898,0,0.1
54.0984984,14.2923,0.7202,0,0.1
54.1137557,15.2573,0.965,0,0.1
54.1290553,15.2996,0.0423,0,0.1
54.1440024,14.9471,0.3525,0,0.1
54.1581177,14.1153,0.8318,0,0.1
54.1731578,15.0401,0.9248,0,0.1
54.1886255,15.4677,0.4276,0,0.1
54.2036032,14.9777,0.49,0,0.1
54.2187089,15.1057,0.128,0,0.1
54.2335048,14.7959,0.3098,0,0.1
54.2484058,14.901,0.1051,0,0.1
54.2630232,14.6174,0.2836,0,0.1
54.2772032,14.18,0.4374,0,0.1
54.2915863,14.3831,0.2031,0,0.1
54.3069915,15.4052,1.0221,0,0.1
54.3218001,14.8086,0.5966,0,0.1
54.3365052,14.7051,0.1035,0,0.1
54.3513328,14.8276,0.1225,0,0.1
54.3659136,14.5808,0.2468,0,0.1
54.3807654,14.8518,0.271,0,0.1
54.3952439,14.4785,0.3733,0,0.1
54.4095574,14.3135,0.165,0,0.1
54.4243938,14.8364,0.5229,0,0.1
54.4397856,15.3918,0.5554,0,0.1
54.453972,14.1864,1.2054,0,0.1
54.4685934,14.6214,0.435,0,0.1
54.483544,14.9506,0.3292,0,0.1
54.4980217,14.4777,0.4729,0,0.1
54.5124434,14.4217,0.056,0,0.1
54.5275381,15.0947,0.673,0,0.1
54.5424215,14.8834,0.2113,0,0.1
54.5577416,15.3201,0.4367,0,0.1
54.5717738,14.0322,1.2879,0,0.1
54.5869283,15.1545,1.1223,0,0.1
54.6015868,14.6585,0.496,0,0.1
54.6161953,14.6085,0.05,0,0.1
54.6313472,15.1519,0.5434,0,0.1
54.645889,14.5418,0.6101,0,0.1
54.6606595,14.7705,0.2287,0,0.1
54.6758886,15.2291,0.4586,0,0.1
54.6910912,15.2026,0.0265,0,0.1
54.7057644,14.6732,0.5294,0,0.1
54.7194816,13.7172,0.956,0,0.1
54.7345929,15.1113,1.3941,0,0.1
54.7495555,14.9626,0.1487,0,0.1
54.7638621,14.3066,0.656,0,0.1
54.7790224,15.1603,0.8537,0,0.1
54.7937976,14.7752,0.3851,0,0.1
54.8086692,14.8716,0.0964,0,0.1
54.8230837,14.4145,0.4571,0,0.1
54.8376592,14.5755,0.161,0,0.1
54.8522736,14.6144,0.0389,0,0.1
54.8673036,15.03,0.4156,0,0.1
54.8817979,14.4943,0.5357,0,0.1
54.8968563,15.0584,0.5641,0,0.1
54.9116494,14.7931,0.2653,0,0.1
54.9264544,14.805,0.0119,0,0.1
54.9413777,14.9233,0.1183,0,0.1
54.9561381,14.7604,0.1629,0,0.1
54.9706261,14.488,0.2724,0,0.1
54.9853764,14.7503,0.2623,0,0.1
54.9999269,14.5505,0.1998,0,0.1
55.0145577,14.6308,0.0803,0,0.1
55.0294129,14.8552,0.2244,0,0.1
55.0436775,14.2646,0.5906,0,0.1
55.0590561,15.3786,1.114,0,0.1
55.0736118,14.5557,0.8229,0,0.1
55.0881425,14.5307,0.025,0,0.1
55.1033316,15.1891,0.6584,0,0.1
55.1179138,14.5822,0.6069,0,0.1
55.1327281,14.8143,0.2321,0,0.1
55.1471252,14.3971,0.4172,0,0.1
55.1621354,15.0102,0.6131,0,0.1
55.1764665,14.3311,0.6791,0,0.1
55.1912022,14.7357,0.4046,0,0.1
55.2060597,14.8575,0.1218,0,0.1
55.2211484,15.0887,0.2312,0,0.1
55.2359982,14.8498,0.2389,0,0.1
55.2504687,14.4705,0.3793,0,0.1
55.2654494,14.9807,0.5102,0,0.1
55.2797117,14.2623,0.7184,0,0.1
55.2948455,15.1338,0.8715,0,0.1
55.3090761,14.2306,0.9032,0,0.1
55.3236817,14.6056,0.375,0,0.1
55.3383599,14.6782,0.0726,0,0.1
55.3529238,14.5639,0.1143,0,0.1
55.3680546,15.1308,0.5669,0,0.1
55.3826709,14.6163,0.5145,0,0.1
55.398153,15.4821,0.8658,0,0.1
55.411999,13.846,1.6361,0,0.1
55.427181,15.182,1.336,0,0.1
55.4424369,15.2559,0.0739,0,0.1
55.4574287,14.9918,0.2641,0,0.1
55.4720645,14.6358,0.356,0,0.1
55.4870739,15.0094,0.3736,0,0.1
55.5020299,14.956,0.0534,0,0.1
55.5170351,15.0052,0.0492,0,0.1
55.5318568,14.8217,0.1835,0,0.1
55.5463696,14.5128,0.3089,0,0.1
55.5609556,14.586,0.0732,0,0.1
55.5749388,13.9832,0.6028,0,0.1
55.5897034,14.7646,0.7814,0,0.1
55.6047038,15.0004,0.2358,0,0.1
55.6199993,15.2955,0.2951,0,0.1
55.6343331,14.3338,0.9617,0,0.1
55.6491138,14.7807,0.4469,0,0.1
55.6636131,14.4993,0.2814,0,0.1
